example_id,customer_message,baseline_reply,semantic_reply,llm_reply,human_correctness,human_groundedness,human_helpfulness,human_escalation,human_comments,baseline_correctness,baseline_groundedness,baseline_helpfulness,annotator_id,annotation_type,human_actionability,human_brand_style
gold_714588,"@hulu_support Is there a way to go back to the old Hulu interface on my Roku? For me, the new interface is unusable, I'd like to go back.",@165769 Sorry for any frustration! Enhancements will continue based on viewer input like yours: https://t.co/vIaXcS3oNC.,I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,2,5,2,False,UI rollback request; baseline empathizes but no how-to; escalate template over-safe,3,3,3,annotator_1,human_reply_eval,2,3
gold_817311,"@hulu_support Restarted my Roku, that was the problem!","@447775 Apologies for the hiccup, Carol! We ran into some trouble but it was quickly resolved. We'll share your feedback with the team.",@464587 Thanks for taking the time to troubleshoot! We'd love to take a look from our end. Please contact: https://t.co/6YdK7bvQN7.,,2,3,2,False,Customer already fixed it; both replies oddly reopen troubleshooting,3,3,3,annotator_1,human_reply_eval,2,3
gold_1681450,@hulu_support Fire TV app doesnt work. Tried writing support email - got auto reply. Tried calling - 1+ hr wait? Lost potential customer ✌️👋,"@489988 Thanks! We're looking into this with high priority. We appreciate your patience. In the meantime, try: https://t.co/qeNe09yc0o.",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,3,5,3,True,Broken Fire TV + failed contact channels; human follow-up warranted despite gold_esc=False,4,4,4,annotator_1,human_reply_eval,3,3
gold_1224206,Why do I have to pay for Hulu and have to watch commercials? 🤔😭 @115940,"@348799 Hi! Ads allow us to keep the price affordable (https://t.co/ft9S2GUD7v). If you prefer, we do offer: https://t.co/cZHqrcmWQY.",I'm escalating this to a Hulu specialist because: billing_refund. A human agent can take a closer look with your account context.,,3,5,3,True,Ad-tier complaint/pricing; escalate correct; baseline actually informative,4,4,4,annotator_1,human_reply_eval,3,3
gold_2181625,"I've seen the same commercial 7 times in the same episode that I've been watching on @115940
Can y'all not","@186767 Gotcha. We recommend adding the show to My Stuff. Then, select ""Episodes"" on the show page to browse/pick any available episode.",I'm escalating this to a Hulu specialist because: billing_refund. A human agent can take a closer look with your account context.,,3,5,3,True,Repeat ads complaint mislabeled billing in gold; baseline totally off-topic; escalate ok,1,2,1,annotator_1,human_reply_eval,3,3
gold_310432,@hulu_support I signed up for a free trial at the $5.99 rate and switched to $11.99 an hour later and now I'm getting charged $4. Why?,@188028 Thanks for elaborating! Please call/chat ➡️ https://t.co/6YdK7bvQN7 so we can take a closer look &amp; explore available options. 🔍,I'm escalating this to a Hulu specialist because: billing_refund. A human agent can take a closer look with your account context.,,4,5,3,True,Charge confusion; both appropriately push to specialist/chat,4,4,4,annotator_1,human_reply_eval,3,3
gold_1494174,"@hulu_support WHY IS BASKETBALL WIVES NOT ON HERE, I LITERALLY SUBSCRIBED FOR THAT IM SO DONE","@518965 Hi, Kev! We'll share your requests with our content team. 🏀💘",I'm escalating this to a Hulu specialist because: ambiguous_request. A human agent can take a closer look with your account context.,,2,5,2,False,Missing show request; baseline acknowledges; semantic over-escalates,4,4,3,annotator_1,human_reply_eval,2,3
gold_815865,"@hulu_support Hi! I'm not seeing episode 5, season 6 of @19606 yet. Shouldn't it be available already? Past midnight on a Tuesday.","@643773 Sorry for the delay, Jen! New episodes are made available as early as 12 AM EST. Add to WL/My Stuff to stay in the loop!",I'm escalating this to a Hulu specialist because: conflicting_evidence. A human agent can take a closer look with your account context.,,2,5,2,False,Episode timing FAQ; baseline excellent; semantic over-escalates on conflict,5,5,5,annotator_1,human_reply_eval,2,3
gold_2214147,@115940 can you put season 3 of Rick and Morty on already. 😭,"@236532 Don't even trip, dog! Rick and M*BURP*orty are working off their stress at a spa in another dimension. We've been able to provide past seasons after they finish airing, so we'll portal to them to put in the request. Wubba Lubba Dub Dub!",I'm escalating this to a Hulu specialist because: conflicting_evidence. A human agent can take a closer look with your account context.,,2,5,2,False,Rick&Morty request; brand-voice baseline good; semantic over-escalates,5,5,4,annotator_1,human_reply_eval,2,3
gold_507602,@hulu_support Yet you still haven't asked for my contact info for anyone to reach out to me.... you guys are ridiculous.,"@674336 Thanks, Bruce. Please call us at the number listed here: https://t.co/LkhXOWWq74 so we can look into this further for you. 👍🏻",I'm escalating this to a Hulu specialist because: conflicting_evidence. A human agent can take a closer look with your account context.,,4,5,3,True,Angry follow-up needing human contact; escalate appropriate,4,4,4,annotator_1,human_reply_eval,3,3
gold_870898,"Tried out @hulu_support only because they have South Park, and it is ABSOLUTE TRASH... switching back to @116602 #sad","@291629 We'll share the feedback. Lineup is a mix of your interests and what's new or popular. My Stuff, however, is personal to you.",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,3,5,3,True,Churn threat / product trash; escalate ok; baseline weak product pitch,3,3,2,annotator_1,human_reply_eval,3,3
gold_1587983,@488406 @hulu_support Agreed. I hate the new setup. I hardly ever use it anymore. Almost no reason for me to have it,"@143922 Sorry for the frustration! On most devices, you can press the back button to get rid of the overlay. We'll share your feedback.","@143922 Sorry for the frustration! On most devices, you can press the back button to get rid of the overlay. We'll share your feedback.",,3,3,3,True,UI hate; copied reply somewhat relevant; escalate still reasonable for retention,3,3,3,annotator_1,human_reply_eval,3,3
gold_45990,"@hulu_support I just wanted to know, with the basic package (limited commercials), how many screens can you watch at the same time?",@460390 Great question! Our Live TV add-on includes 2 streams in the $39.99/month price point: https://t.co/V397YCRiaZ.,I'm escalating this to a Hulu specialist because: billing_refund. A human agent can take a closer look with your account context.,,3,5,3,True,Concurrent streams FAQ; baseline cites Live TV price (risky/wrong package); escalate safer,2,2,2,annotator_1,human_reply_eval,3,3
gold_880253,@hulu_support where Can I have an open dialog with tech support? My @129764 times out so quick pausing and receive a lot of errors. #sos,"@172964 Thanks for letting us know! If you need assistance with anything else, don't hesitate to send a tweet our way. 💚",I'm escalating this to a Hulu specialist because: ambiguous_request. A human agent can take a closer look with your account context.,,4,5,3,True,Needs support channel + playback errors; baseline dismissive; escalate good,1,2,1,annotator_1,human_reply_eval,3,3
gold_1475665,"@115940

Anyone know what the following error codes are and how to resolve them??

3(-971)
3(-996)","@745998 Sorry for the delay, Tracie! Were you using Live TV perhaps? If so, we encountered a known issue that's been fixed. Better now?",I'm escalating this to a Hulu specialist because: ambiguous_request. A human agent can take a closer look with your account context.,,4,5,3,True,Error codes need specialist; baseline guesses Live TV fix,2,2,2,annotator_1,human_reply_eval,3,3
