brand,tweets_in_brand_extract,outbound_support_tweets,inbound_customer_tweets_mentioning_brand,customer_support_reply_pairs,customer_support_reply_links_raw,response_coverage_approx,unique_inbound_texts,avg_inbound_text_length,lexical_diversity_unique_over_n,golden_set_feasible_150_250,intent_diversity_proxy_ok,retrieval_suitability_ok,suitability_score,volume_penalty_applied,notes,extract_path,rank
hulu_support,47496,21872,18615,21468,21681,1.1533,18348,108.89,0.9857,True,True,True,0.9978,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_hulu_support.parquet,1
sprintcare,48368,22381,13746,20026,22209,1.4569,13422,102.88,0.9764,True,True,True,0.9965,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_sprintcare.parquet,2
SpotifyCares,90131,43265,31353,41585,43092,1.3263,30596,104.79,0.9759,True,True,True,0.9964,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_SpotifyCares.parquet,3
Uber_Support,125689,56270,46624,55182,56160,1.1836,45018,112.91,0.9656,True,True,True,0.9948,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_Uber_Support.parquet,4
TMobileHelp,75018,34317,21964,33837,34215,1.5406,21128,102.66,0.9619,True,True,True,0.9943,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_TMobileHelp.parquet,5
comcastcares,69612,33031,23278,30369,32921,1.3046,22377,107.89,0.9613,True,True,True,0.9942,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_comcastcares.parquet,6
AskPlayStation,42666,19098,22263,18650,18675,0.8377,21487,105.52,0.9651,True,True,True,0.9704,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_AskPlayStation.parquet,7
SouthwestAir,64667,28977,35106,28285,28828,0.8057,34694,112.15,0.9883,True,True,True,0.9691,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_SouthwestAir.parquet,8
Delta,87882,42253,44836,36134,42114,0.8059,44082,108.76,0.9832,True,True,True,0.9684,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_Delta.parquet,9
British_Airways,60457,29361,30856,24084,29290,0.7805,30629,128.0,0.9926,True,True,True,0.966,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_British_Airways.parquet,10
Tesco,73514,38573,33964,25282,38468,0.7444,33478,114.31,0.9857,True,True,True,0.9595,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_Tesco.parquet,11
AmericanAir,86830,36764,49516,36457,36531,0.7363,49044,120.2,0.9905,True,True,True,0.959,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_AmericanAir.parquet,12
XboxSupport,54461,24557,28124,20213,23235,0.7187,27552,107.75,0.9797,True,True,True,0.9548,0.0,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_XboxSupport.parquet,13
AmazonHelp,367667,169840,135160,154976,168814,1.1466,131577,113.14,0.9735,True,True,True,0.916,0.08,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_AmazonHelp.parquet,14
AppleSupport,233216,106860,97896,106623,106646,1.0891,94986,107.68,0.9703,True,True,True,0.9155,0.08,"['Lightweight metrics: no connected-component reconstruction.', 'Pairs = unique inbound parents replied to by the brand.', 'Mega-brand volume penalty discourages selecting purely by size.']",data/interim/brand_extract_AppleSupport.parquet,15
