example_id,customer_message,candidate_reply,human_groundedness,judge_groundedness,difference,escalation_decision,escalation_reason,system_escalated_from_reply,evidence_strength,top_similarity,evidence_preview
gold_1494174,"@hulu_support WHY IS BASKETBALL WIVES NOT ON HERE, I LITERALLY SUBSCRIBED FOR THAT IM SO DONE",I'm escalating this to a Hulu specialist because: ambiguous_request. A human agent can take a closer look with your account context.,5,1,-4,True,ambiguous_request,True,0.5491773243693244,0.5597051566994087,"0.56:@280027 Apologies, Rob! Our team is looking into this error. Do you notice any i | 0.54:@315290 Yikes! Please give these steps a shot: https://t.co/C3IOhQGizS. If the e | 0.54:@330684 Hmm... Do you happen to recall a show/ep it aired during? Once we have m"
gold_815865,"@hulu_support Hi! I'm not seeing episode 5, season 6 of @19606 yet. Shouldn't it be available already? Past midnight on a Tuesday.",I'm escalating this to a Hulu specialist because: conflicting_evidence. A human agent can take a closer look with your account context.,5,1,-4,True,conflicting_evidence,True,0.46547420898598574,0.6633286223016833,"0.66:@405332 Apologies for any frustration—our team is currently looking into this! K | 0.66:@781468 Hey Nancy! Our rights allow us to offer episodes from the current season | 0.59:@215013 We don't have an update, but can assure you we're sensitive to the needs"
gold_870898,"Tried out @hulu_support only because they have South Park, and it is ABSOLUTE TRASH... switching back to @116602 #sad",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,5,1,-4,True,low_intent_confidence,True,0.5684873364340547,0.5853594275035767,"0.59:@759390 We don't want to be cotton-headed ninny-muggins! We'll send a Christmas- | 0.51:@156891 Oh no! We're sorry it came to that. Did the reset and restoration fix th | 0.51:@163794 Any particular titles you would like to see, Jen? We're always happy to "
gold_45990,"@hulu_support I just wanted to know, with the basic package (limited commercials), how many screens can you watch at the same time?",I'm escalating this to a Hulu specialist because: billing_refund. A human agent can take a closer look with your account context.,5,1,-4,True,billing_refund,True,0.4655801871777603,0.557331476867405,"0.56:@200796 Like traditional broadcast TV, our live service will have ad breaks. Tho | 0.55:@148033 Got it. If you need a hand with anything else, please don't hesitate to  | 0.52:@224385 Oh no! Thanks for reaching out about this, Micah. Can you let us know wh"
gold_880253,@hulu_support where Can I have an open dialog with tech support? My @129764 times out so quick pausing and receive a lot of errors. #sos,I'm escalating this to a Hulu specialist because: ambiguous_request. A human agent can take a closer look with your account context.,5,1,-4,True,ambiguous_request,True,0.5042175910766168,0.6480368206106729,"0.65:@172964 Thanks for letting us know! If you need assistance with anything else, d | 0.63:@418366 That's not the experience we like to hear about! Please send us a DM us  | 0.59:@820406 Apologies for the continued trouble, Brett! We'd love to help here, or w"
gold_2759437,@hulu_support No. I’m unsound watch espn cause Hulu keeps falling apart,I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,5,1,-4,True,low_intent_confidence,True,0.5083106877670065,0.6468447555152429,"0.65:@474647 Hey Rob! We don't have the rights to stream this show at this time, but  | 0.58:@511834 For buffering, were the steps provided of any help? For #3 this sounds l | 0.56:@508136 Uh oh! What OS is your phone? Do you receive an error when this occurs? "
gold_2596041,"@hulu_support hello hulu, i have hulu plus yet everytime i login with my credentials it pops up as a basic hulu account.??? why",I'm escalating this to a Hulu specialist because: account_specific. A human agent can take a closer look with your account context.,5,1,-4,True,account_specific,True,0.4906881445170642,0.629162276266238,"0.63:@275587 Hi there! We're a digital streaming service for on-demand (https://t.co/ | 0.63:@222858 We're sorry to hear about the trouble, Steve! What happens when you try  | 0.55:@630702 Sorry to hear about the trouble, Suda! If you're able to login elsewhere"
gold_467845,"@hulu_support My bad, I did miss the reply. I have yet to access a show that successfully links from the tv app to Hulu. Kinda stinks",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,5,1,-4,True,low_intent_confidence,True,0.4820568161317135,0.48964122628215107,"0.49:@203393 Apologies! This is a known issue our team is investigating. For now, you | 0.49:@543332 Our apologies, Timothy. We're looking into similar reports. What device  | 0.45:@213225 Were the steps of any help? Also, if possible, can you provide us a phot"
gold_199210,@hulu_support The Purge: Election Year is showing up on my Hulu app but not my tv. It doesn’t say it’s part of the HBO preview weekend. Help,I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,5,1,-4,True,low_intent_confidence,True,0.46477258062124227,0.542675256946503,"0.54:@203393 Apologies! This is a known issue our team is investigating. For now, you | 0.51:@809752 It may only be enabled for our app. If disabling it following the steps  | 0.49:@457534 Apologies, Ashley! Please chat w/ us here: https://t.co/6YdK7bvQN7 so we"
gold_1461313,@hulu_support Thank you &amp; I do love the movies &amp; classic series,I'm escalating this to a Hulu specialist because: ambiguous_request. A human agent can take a closer look with your account context.,5,1,-4,True,ambiguous_request,True,0.5700289487880936,0.6068623718400735,"0.61:@475370 Good morning! We're happy to report this issue is now resolved. If there | 0.61:@528518 You're very welcome! If you have any other questions or feedback, feel f | 0.61:@580997 Apologies for the delay! We're glad to hear that all has been restored. "
