example_id,customer_tweet_id,conversation_id,customer_message,conversation_context,gold_intent,gold_escalate,escalation_reason,annotator_confidence,difficulty,annotator_notes,annotator_id
gold_2911030,2911030,root_2911030,@hulu_support why is the app constantly pausing and buffering lately?  It's not connection because it is happening at several different locations and devices for me.  From ps4 to Android phone.,[],playback_error,False,troubleshooting_strong_evidence,medium,medium,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_2721090,2721090,root_2721090,@hulu_support live games are pretty buffer heavy :-(,[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_1179249,1179249,root_1179249,"@hulu_support Can't watch Steelers on Hulu Live, wife is MAD, getting repeated buffer bar, no picture. On hold for 20 mins so far. Help!!",[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_564410,564410,root_564410,"@hulu_support Your stream of the SEC Championship game is completely unwatchable. Buffering every few seconds, losing it's spot, ""parts of the stream missing"" errors, and complete playback failure.",[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_2623567,2623567,root_2623567,@hulu_support got this “ https://t.co/7YVDkNKOMM operation error 0. “ Help!,[],playback_error,False,troubleshooting_strong_evidence,medium,medium,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_867746,867746,root_867746,@115940 my Hulu streaming has been freezing up and not working for almost 10 days now!  What's going on?,[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_671959,671959,cust_671959,@hulu_support Really bad buffering in the last hour. What am I paying for? I tried reinstalling the app. Could it be too much traffic? Thanks,[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_267934,267934,root_267934,"@hulu_support love the interface, hate the buffering. Non. Stop. Bu..........ffering.",[],playback_error,False,troubleshooting_strong_evidence,medium,medium,"rules=['playback_error', 'feedback_complaint']; escalate:routine_support_issue",phase1_engineer
gold_1331619,1331619,root_1331619,@hulu_support why does every channel buffer??? I did all the major steps and I still get the same issue on both my TVs,[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_2642114,2642114,root_2642114,@hulu_support why the buffering-buffering-buffering all the time on live shows?  On-Demand seems okay.  This has been going on for weeks.,[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_1008856,1008856,root_1008858,"@hulu_support Yes I know that, I am saying that Hulu thinks it is live due to buffering however it is really 2 mins behind the actual football game",[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_1087762,1087762,root_1087762,@hulu_support  I switched from sling 2 weeks ago but this constant buffering is driving me crazy.,[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_1482133,1482133,root_1482133,"@hulu_support listen man my lady and I️ canceled our Verizon cable for Hulu live and all it does is skip, buffer, and jump around FIX THIS!!",[],playback_error,False,troubleshooting_strong_evidence,medium,medium,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_889928,889928,root_889928,@331260 @16480 Maybe it’s the @115940 app... keeps buffering for some reason,[],playback_error,False,troubleshooting_strong_evidence,medium,medium,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
