example_id,customer_tweet_id,conversation_id,customer_message,conversation_context,gold_intent_2,gold_escalate_2,annotator2_notes
gold_2623567,2623567,root_2623567,@hulu_support got this “ https://t.co/7YVDkNKOMM operation error 0. “ Help!,[],playback_error,True,operation error code — account/device help
gold_2575634,2575634,root_2575634,@115940 I’ve had enough of the constant buffering and loading issues. I’ve tried everything to fix it. From uninstalling &amp; reinstalling to resetting my network &amp; power cycling everything. Thought you should know of the issue again since no on there can fix it,[],playback_error,False,chronic buffering after user troubleshooting
gold_2911030,2911030,root_2911030,@hulu_support why is the app constantly pausing and buffering lately?  It's not connection because it is happening at several different locations and devices for me.  From ps4 to Android phone.,[],playback_error,False,multi-device buffering
gold_1355492,1355492,root_1355492,@115940 your live doesn’t work for older devices Apple TV Roku Toshiba laptop PS3  I signed up only can view on my iPhone this is worthless,[],live_tv_issues,True,Live not on older devices — entitlement/device
gold_2377725,2377725,root_2377725,@hulu_support How do I turn off autoplay for a kids’ profile on an AppleTV?,[],how_to_feature,False,kids autoplay setting
gold_1740549,1740549,root_1740553,"@hulu_support Np. I can test further. I’m trying to remember if it was only when I used my Chromecast or not. I know one ep was 4:3, the next 16:9.",[],app_device_issue,False,aspect ratio / Chromecast follow-up
gold_1681450,1681450,root_1681450,@hulu_support Fire TV app doesnt work. Tried writing support email - got auto reply. Tried calling - 1+ hr wait? Lost potential customer ✌️👋,[],app_device_issue,True,Fire TV broken + contact failure
gold_2251699,2251699,root_2251699,@hulu_support Am I able to access Hulu Live TV on my desktop computer? I don't see my DVR or live TV access when I login.,[],login_account,True,Live TV missing after login — entitlement
gold_954498,954498,root_954498,@hulu_support wait time today to try and figure out why I haven’t been able to log in for five days https://t.co/lgt47x96X7,[],login_account,True,cannot login 5 days
gold_1363688,1363688,root_1363688,@hulu_support hey can you guys help me? I can’t login to my iPhone app but i can login to your website???,[],login_account,True,iPhone app login fail vs web ok
gold_961348,961348,root_961348,"Dear @hulu_support
If you want me to pay for next month of Hulu Live, I want a refund for Oct. 
Couldn’t see Raiders, then issues w/Cubs, AL https://t.co/tUGxt6t3jr",[],billing_subscription,True,explicit refund
gold_1224206,1224206,root_1224206,Why do I have to pay for Hulu and have to watch commercials? 🤔😭 @115940,[],billing_subscription,True,pay + ads complaint
gold_592886,592886,root_592886,I can’t wait to cancel @115940 tomorrow.  Cord cutting experiment abject failure.,[],feedback_complaint,True,cancel threat
gold_2791262,2791262,root_2791262,Why is season 3 of Rick and Morty STILL NOT ON @115940 😤,[],content_availability,False,Rick and Morty S3 request
gold_1187464,1187464,root_1187464,@115940 it says the newest episode of Lucifer was supposed o be available at midnight it’s 1 am when will I get to watch it,[],content_availability,False,episode availability timing
gold_998322,998322,root_998322,@hulu_support hulu isn’t connecting. Seems it’s affecting alot of users. When will it be fixed?,[],service_outage,True,many users cannot connect
gold_2516231,2516231,root_2454264,"@hulu_support I'm not wasting mine or anyone else's time doing that. It's not my connection.  I stream all other apps fine. How about you please Google ""issues streaming Hulu on firestick"". It's not just me",[],playback_error,True,Firestick streaming; refuses more steps
gold_2157419,2157419,root_2157419,"@hulu_support there is an outage for casting. Across multiple accounts, chromecast devices and wifi we all are experiencing an ""Error"" splash screen on our tv's",[],service_outage,True,casting outage across accounts/devices
gold_2209356,2209356,root_2209356,Anyone else having trouble with Hulu? Had to refresh the page 8 times to get the new episode of Bobs Burgers to play. @hulu_support Is it just me or...?,[],service_outage,True,widespread play trouble / refresh loop
gold_2363665,2363665,root_2363665,@hulu_support so once again your business has mess up my account how is it every month it's mess up do y'all not know how to fix this if I wanted to go on there &amp; fix it every month I wouldn't have set it up for every month. Ugh getting on my last nerves,[],billing_subscription,True,monthly account mess / billing
gold_2753119,2753119,root_2753120,@hulu_support That’s no problem. How do I disconnect the accounts? Spoke to Spotify and was told Hulu would handle it.,[],billing_subscription,True,disconnect Spotify/Hulu accounts
gold_996994,996994,root_996994,@hulu_support how do I watch the alcs?,[],how_to_feature,False,how to watch ALCS
gold_2575622,2575622,root_2575622,Hulu trash as hell,[],feedback_complaint,True,pure complaint
gold_1101079,1101079,root_1101079,This new update is horrible. Everytime I try and watch something it stops like 10 minutes in and says it can be loaded 😡 @115940 .,[],playback_error,False,update causes mid-play failure
gold_2333553,2333553,root_2333553,@hulu_support Please stop sending everyone to bad links...if you don’t have a true solution just say so.  misleading behavior is a horrible trait to exhibit.,[],feedback_complaint,True,bad links / misleading support
